ICAO,Имя
UHSN,UHSN | NGK | Ноглики
UOOO,UOOO | NSK | Норильск | Алыкель
USRO,USRO | NOJ | Ноябрьск
UENN,UENN | NYR | Нюрба
UHQO,UHQO | Запорожье | Озерная
UEMO,UEMO | OLZ | Олёкминск
UERO,UERO | ONK | Оленек
UHMN,UHMN | Омолон
UNOO,UNOO | OMS | Омск Центральный
UHMF,UHMF | Омсукчан
UWOO,UWOO | REN | Оренбург
UWOR,UWOR | OSW | Орск
UHPD,UHPD | Оссора
UHSH,UHSH | OHH | Оха | Новостройка
UHOO,UHOO | OHO | Охотск
UHPL,UHPL | Палана
ZD5W,ZD5W | Парамушир
UHPA,UHPA | Пахачи
UHMP,UHMP | PWE | Певек
UWPP,UWPP | PEZ | Пенза
USPP,USPP | PEE | Пермь | Большое Савино
ULPB,ULPB | PES | Петрозаводск | Бесовец
UHPP,UHPP | PKC | Петропавловск-Камчатский | Елизово
UNIP,UNIP | TGP | Подкаменная Тунгуска
UERP,UERP | PYJ | Полярный
UHMD,UHMD | PVS | Бухта Провидения
ULOO,ULOO | PKV | Псков | Кресты
URRP,URRP | ROV | Ростов-на-Дону | Платов
USDA,USDA | SBT | Сабетта
UEBS,UEBS | SUK | Саккырыр
USDD,USDD | SLY | Салехард
UWWW,UWWW | KUF | Самара | Курумоч
UEMS,UEMS | Сангар
ULLI,ULLI | LED | Санкт-Петербург | Пулково
UWPS,UWPS | SKX | Саранск
UWSG,UWSG | Саратов | Гагарин
UERS,UERS | SYS | Саскылах
URFB,URFB | Севастополь | Бельбек
UNIS,UNIS | Северо-Енисейск
UHMW,UHMW | SWV | Северо-Эвенск
UHMS,UHMS | Сеймчан
URFF,URFF | Симферополь
UHPS,UHPS | Соболево | Соболево
ULAS,ULAS | CSH | Соловки
URSS,URSS | AER | Сочи
UESK,UESK | SEK | Среднеколымск
URMT,URMT | STW | Ставрополь | Шпаковское
UENS,UENS | SUY | Сунтар
USRR,USRR | SGC | Сургут
UUYY,UUYY | SCW | Сыктывкар
UIKG,UIKG | Таксимо
UECT,UECT | TLK | Талакан
UUOT,UUOT | TBW | Тамбов | Донское
USDS,USDS | TQL | Тарко-Сале
UHPG,UHPG | Тигиль
UEST,UEST | IKS | Тикси
UHPT,UHPT | Тиличики
USDO,USDO | Толька
UNTT,UNTT | TOF | Томск | Богашёво
UNIT,UNIT | Тура-Горный
UOTT,UOTT | THX | Туруханск | Туруханск
UHBW,UHBW | TYD | Тында | Тында
USTR,USTR | TJM | Тюмень | Рощино
UIUU,UIUU | UUD | Улан-Удэ | Байкал
UWLL,UWLL | ULV | Ульяновск | Баратаевка
UUYS,UUYS | USK | Усинск
UHPK,UHPK | Усть-Камчатск
UEBT,UEBT | UKG | Усть-Куйга
UITT,UITT | UKX | Усть-Кут | Усть-Кут
UEMU,UEMU | UMS | Усть-Мая
UEMT,UEMT | USR | Усть-Нера
UHPU,UHPU | Усть-Хайрюзово
USDM,USDM | Утренний
UWUU,UWUU | UFA | Уфа
UHHH,UHHH | KHV | Хабаровск | Новый
UEMH,UEMH | KDY | Хандыга | Теплый Ключ
USHH,USHH | HMA | Ханты-Мансийск
UOHH,UOHH | HTG | Хатанга
UHNH,UHNH | Херпучи
UIAR,UIAR | Чара
UWKS,UWKS | CSY | Чебоксары
USCC,USCC | CEK | Челябинск | Баландино
ULWC,ULWC | CEE | Череповец
UESS,UESS | CYX | Черский
UIAA,UIAA | HTA | Чита | Кадала
UESO,UESO | CKH | Чокурдах
UHHY,UHHY | Чумикан
UHSK,UHSK | EKS | Шахтерск
HC3Y,HC3Y | Малокурильское
UHBP,UHBP | Экимчан | Экимчан
URWI,URWI | ESL | Элиста
UHSM,UHSM | DEE | Южно-Курильск | Менделеево
UHSS,UHSS | UUS | Южно-Сахалинск | Хомутово
UEEE,UEEE | YKS | Якутск
USMQ,USMQ | Ямбург
UUDL,UUDL | IAR | Ярославль | Туношна
UHSI,UHSI | ITU | Итуруп
ZFC7,ZFC7 | Сухум | Бабушара
UKCC,UKCC | DOK | Донецк | Донецк
UKCW,UKCW | VSG | Луганск | Луганск
UKDE,UKDE | OZH | Запорожье | Мокрая
UKOH,UKOH | KHE | Херсон | Чернобаевка
UKCM,UKCM | MPW | Мариуполь
